timestamp,pitch_hz,confidence,voiced
12.1040,101.51,0.3853,false
12.1200,101.91,0.4003,false
12.1360,102.33,0.3812,false
12.1520,101.97,0.3734,false
12.1680,101.83,0.3742,false
12.1840,194.35,0.2290,false
12.2000,193.45,0.2544,false
12.2160,193.52,0.2700,false
12.2320,193.40,0.2853,false
12.2480,192.86,0.2748,false
12.2640,192.13,0.2450,false
12.2800,98.67,0.3627,false
12.2960,98.84,0.4088,false
12.3120,100.94,0.4254,false
12.3280,101.76,0.4247,false
12.3440,102.03,0.4183,false
12.3600,103.05,0.4507,false
12.3760,103.04,0.4452,false
12.3920,750.30,0.2709,false
12.4080,748.33,0.5975,false
12.4240,747.42,0.7997,false
12.4400,747.10,0.8618,false
12.4560,746.96,0.9180,true
12.4720,746.86,0.9650,true
12.4880,746.86,0.9543,true
12.5040,746.87,0.9102,true
12.5200,746.86,0.8596,false
12.5360,746.90,0.8287,false
12.5520,746.93,0.7715,false
12.5680,746.85,0.7954,false
12.5840,746.82,0.8127,false
12.6000,746.82,0.8473,false
12.6160,746.81,0.8386,false
12.6320,746.85,0.6739,false
12.6480,746.91,0.3778,false
12.6640,244.44,0.6462,false
12.6800,244.49,0.6391,false
12.6960,746.97,0.3904,false
12.7120,746.91,0.4768,false
12.7280,746.82,0.7245,false
12.7440,746.79,0.8621,false
12.7600,746.78,0.9075,true
12.7760,746.79,0.9376,true
12.7920,746.79,0.9376,true
12.8080,746.79,0.9372,true
12.8240,746.78,0.9303,true
12.8400,746.78,0.8438,false
12.8560,746.78,0.9542,true
12.8720,746.78,0.9878,true
12.8880,746.78,0.9917,true
12.9040,746.78,0.9882,true
12.9200,746.78,0.9755,true
12.9360,746.78,0.9545,true
12.9520,746.78,0.9517,true
12.9680,746.78,0.9124,true
12.9840,746.80,0.8472,false
13.0000,746.81,0.7750,false
13.0160,746.82,0.6391,false
13.0320,746.97,0.4409,false
13.0480,487.97,0.5592,false
13.0640,485.76,0.4636,false
13.0800,479.92,0.3103,false
